1,1,0.000015
1,2,0.000023
1,3,0.000011
1,4,0.000011
1,5,0.000008
2,1,0.000010
2,2,0.000009
2,3,0.000009
2,4,0.000006
2,5,0.000008
3,1,0.000011
3,2,0.000011
3,3,0.000008
3,4,0.000011
3,5,0.000008
4,1,0.000016
4,2,0.000013
4,3,0.000016
4,4,0.000012
4,5,0.000016
5,1,0.000025
5,2,0.000025
5,3,0.000022
5,4,0.000025
5,5,0.000021
6,1,0.000043
6,2,0.000040
6,3,0.000043
6,4,0.000040
6,5,0.000043
7,1,0.000086
7,2,0.000080
7,3,0.000080
7,4,0.000077
7,5,0.000080
8,1,0.000159
8,2,0.000155
8,3,0.000154
8,4,0.000155
8,5,0.000154
9,1,0.000309
9,2,0.000308
9,3,0.000298
9,4,0.000306
9,5,0.000307
10,1,0.000605
10,2,0.000602
10,3,0.000601
10,4,0.000604
10,5,0.000602
11,1,0.001198
11,2,0.001194
11,3,0.001194
11,4,0.001192
11,5,0.001194
12,1,0.002390
12,2,0.002473
12,3,0.002378
12,4,0.002380
12,5,0.002379
13,1,0.004755
13,2,0.004591
13,3,0.004590
13,4,0.004590
13,5,0.004590
14,1,0.009150
14,2,0.009321
14,3,0.008814
14,4,0.008799
14,5,0.008800
15,1,0.016084
15,2,0.014184
15,3,0.014278
15,4,0.014180
15,5,0.014179
16,1,0.028368
16,2,0.028402
16,3,0.028397
16,4,0.028410
16,5,0.028401
17,1,0.056795
17,2,0.056799
17,3,0.056820
17,4,0.056802
17,5,0.056806
18,1,0.113593
18,2,0.113585
18,3,0.113585
18,4,0.114345
18,5,0.113568
19,1,0.228295
19,2,0.230426
19,3,0.228895
19,4,0.228918
19,5,0.228919
20,1,0.458100
20,2,0.458348
20,3,0.458284
20,4,0.458683
20,5,0.458435
21,1,0.918911
21,2,0.926490
21,3,0.922365
21,4,0.922514
21,5,0.925963
22,1,1.854469
22,2,1.859586
22,3,1.859551
22,4,1.859071
22,5,1.858800
23,1,3.731630
23,2,3.717157
23,3,3.721945
23,4,3.723550
23,5,3.689908
24,1,7.435002
24,2,7.433530
24,3,7.435969
24,4,7.435351
24,5,7.432105
25,1,14.933570
25,2,14.987471
25,3,14.864930
25,4,14.872511
25,5,14.906740
26,1,29.874992
26,2,30.134209
26,3,30.016058
26,4,29.941442
26,5,29.953392
27,1,59.970086
27,2,60.114761
27,3,60.196306
27,4,60.766643
27,5,60.859671
28,1,122.110962
28,2,122.110186
28,3,122.269924
28,4,123.622966
28,5,122.420131
29,1,246.486869
29,2,247.984523
29,3,248.118190
29,4,250.908334
29,5,251.163303
30,1,506.662638
30,2,509.076788
30,3,479.949651
30,4,590.406961
30,5,640.976876
